Short name,Final corrected TA
D81_OA2,2198.084394
D81_OA2,2156.870565
D81_OA2,2142.673903
D81_OA2_pore,2246.077812
D81_OA2_pore,2236.303062
D81_OA2_pore,2239.227392
D81_OASH1,2150.789172
D81_OASH1,2195.787429
D81_OASH1,2206.675246
D81_OASH1_pore,2570.526677
D81_OASH1_pore,2488.534126
D81_OASH1_pore,2568.138643
D81_OASH2,2204.236618
D81_OASH2,2204.874102
D81_OASH2,2123.05357
D81_OASH2_pore,2560.64062
D81_OASH2_pore,2556.097284
D81_OASH2_pore,2538.581659
D81_SH1,1756.10579
D81_SH1,1701.616109
D81_SH1,1687.723011
D81_SH1_pore,2033.562997
D81_SH1_pore,1966.900412
D81_SH1_pore,2033.684422
D81_SH2,1765.13175
D81_SH2,1734.097423
D81_SH2,1742.465662
D81_SH2_pore,1870.549299
D81_SH2_pore,1780.067083
D81_SH2_pore,1868.636847
D88_C1,1798.52546
D88_C1,1835.690577
D88_C1,1825.277474
D88_C1_pore,1918.00777
D88_C1_pore,1914.980456
D88_C1_pore,1800.060587
D88_C2,1844.643699
D88_C2,1844.751051
D88_C2,1849.689224
D88_C2_pore,1878.824443
D88_C2_pore,1875.367722
D88_C2_pore,1830.591377
D88_OA1,2341.305792
D88_OA1,2304.280232
D88_OA1,2333.415451
D88_OA1_pore,2496.321476
D88_OA1_pore,2497.309111
D88_OA1_pore,2487.711879
D88_OA2,2340.897856
D88_OA2,2315.788321
D88_OA2,2297.613698
D88_OA2_pore,2293.244489
D88_OA2_pore,2304.054793
D88_OA2_pore,2296.529447
D88_OASH1,2328.455808
D88_OASH1,2335.476601
D88_OASH1,2320.275617
D88_OASH1_pore,2823.05675
D88_OASH1_pore,2838.708611
D88_OASH1_pore,2838.375821
D88_OASH2,2331.944734
D88_OASH2,2243.143506
D88_OASH2,2236.30521
D88_OASH2_pore,2598.885177
D88_OASH2_pore,2711.518457
D88_OASH2_pore,2723.133898
D88_SH1,1844.396791
D88_SH1,1847.41337
D88_SH1,1833.586486
D88_SH1_pore,2004.865935
D88_SH1_pore,1882.291899
D88_SH1_pore,2006.91635
D88_SH2,1844.643699
D88_SH2,1852.695068
D88_SH2,1846.533087
D88_SH2_pore,1926.563691
D88_SH2_pore,1899.017275
D88_SH2_pore,1924.448865
