Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D32_OA1,D32_OA1_over.2,D32_OA1_pore.2,2491.40315,2294.746434,sand,OA1,low
D32_OA2,D32_OA2_over,D32_OA2_pore,2553.407462,2232.723831,sand,OA2,low
D32_OA2,D32_OA2_over.1,D32_OA2_pore.1,2511.547491,2218.067096,sand,OA2,low
D32_OA2,D32_OA2_over.2,D32_OA2_pore.2,2490.535363,2198.124459,sand,OA2,low
D32_OASH1,D32_OASH1_over,D32_OASH1_pore,3117.534589,2259.860519,shells,OASH1,low
D32_OASH1,D32_OASH1_over.1,D32_OASH1_pore.1,3022.383028,2134.122197,shells,OASH1,low
D32_OASH1,D32_OASH1_over.2,D32_OASH1_pore.2,3126.431787,2288.871368,shells,OASH1,low
D32_OASH2,D32_OASH2_over,D32_OASH2_pore,2466.357754,2105.031881,shells,OASH2,low
D32_OASH2,D32_OASH2_over.1,D32_OASH2_pore.1,2467.810484,2114.691813,shells,OASH2,low
D32_OASH2,D32_OASH2_over.2,D32_OASH2_pore.2,2455.765975,2106.418746,shells,OASH2,low
D32_SH1,D32_SH1_over,D32_SH1_pore,2115.521213,2077.232932,shells,SH1,high
D32_SH1,D32_SH1_over.1,D32_SH1_pore.1,2106.275543,2076.230446,shells,SH1,high
D32_SH1,D32_SH1_over.2,D32_SH1_pore.2,2109.618208,2075.78035,shells,SH1,high
D32_SH2,D32_SH2_over,D32_SH2_pore,2206.377253,2106.417551,shells,SH2,high
D32_SH2,D32_SH2_over.1,D32_SH2_pore.1,2205.928157,2114.519275,shells,SH2,high
D32_SH2,D32_SH2_over.2,D32_SH2_pore.2,2203.212693,2120.738781,shells,SH2,high
D39_C1,D39_C1_over,D39_C1_pore,2304.02812,2121.80099,sand,C1,high
D39_C1,D39_C1_over.1,D39_C1_pore.1,2318.386682,2127.127477,sand,C1,high
D39_C1,D39_C1_over.2,D39_C1_pore.2,2289.376113,1978.497593,sand,C1,high
D39_C2,D39_C2_over,D39_C2_pore,1957.378631,1721.651312,sand,C2,high
D39_C2,D39_C2_over.1,D39_C2_pore.1,2009.37909,1613.289196,sand,C2,high
D39_C2,D39_C2_over.2,D39_C2_pore.2,1998.67341,1728.167812,sand,C2,high
D39_OA1,D39_OA1_over,D39_OA1_pore,2339.967643,2135.566304,sand,OA1,low
D39_OA1,D39_OA1_over.1,D39_OA1_pore.1,2328.176262,2132.934393,sand,OA1,low
D39_OA1,D39_OA1_over.2,D39_OA1_pore.2,2318.661693,2120.75658,sand,OA1,low
D39_OA2,D39_OA2_over,D39_OA2_pore,2439.478958,2015.051918,sand,OA2,low
D39_OA2,D39_OA2_over.1,D39_OA2_pore.1,2377.232165,2132.777731,sand,OA2,low
D39_OA2,D39_OA2_over.2,D39_OA2_pore.2,2433.473605,2115.325652,sand,OA2,low
D39_OASH1,D39_OASH1_over,D39_OASH1_pore,2859.028607,2137.414908,shells,OASH1,low
D39_OASH1,D39_OASH1_over.1,D39_OASH1_pore.1,2815.779619,2137.185138,shells,OASH1,low
D39_OASH2,D39_OASH2_over,D39_OASH2_pore,2547.032225,2136.621157,shells,OASH2,low
D39_OASH2,D39_OASH2_over.1,D39_OASH2_pore.1,2551.512741,2104.923336,shells,OASH2,low
D39_OASH2,D39_OASH2_over.2,D39_OASH2_pore.2,2459.051188,2124.370237,shells,OASH2,low
D39_SH1,D39_SH1_over,D39_SH1_pore,2252.503244,1849.9778,shells,SH1,high
D39_SH1,D39_SH1_over.1,D39_SH1_pore.1,2212.756639,2056.451698,shells,SH1,high
D39_SH1,D39_SH1_over.2,D39_SH1_pore.2,2267.195726,2052.707746,shells,SH1,high
D39_SH2,D39_SH2_over,D39_SH2_pore,2012.920666,2128.265883,shells,SH2,high
D39_SH2,D39_SH2_over.1,D39_SH2_pore.1,2137.1794,2127.587017,shells,SH2,high
D39_SH2,D39_SH2_over.2,D39_SH2_pore.2,1928.995426,2128.391212,shells,SH2,high
D4_C1,D4_C1_over,D4_C1_pore,2363.740399,2243.660354,sand,C1,high
D4_C1,D4_C1_over.1,D4_C1_pore.1,2351.130416,2246.043824,sand,C1,high
D4_C1,D4_C1_over.2,D4_C1_pore.2,2351.089673,2251.320053,sand,C1,high
D4_C2,D4_C2_over,D4_C2_pore,2215.751343,2243.538125,sand,C2,high
D4_C2,D4_C2_over.1,D4_C2_pore.1,2214.804067,2248.77361,sand,C2,high
D4_C2,D4_C2_over.2,D4_C2_pore.2,2212.980814,2247.510575,sand,C2,high
D4_OA1,D4_OA1_over,D4_OA1_pore,2376.961529,2301.617386,sand,OA1,low
